query_id,candidat_id,system,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
PPBZV2501100016587,PPBZV2501100016587,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBZV2501150017263,PPBZV2501150017263,pgvector_only,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.08747171410140821,0.1,1.0
PPBZV2501150017263,PPBZV2501150017263,pgvector_plus_graph,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.14606834984270645,0.25,1.0,0.4,0.6666666666666666,0.4097553544015081,0.25,1.0
PPBZV2501180017596,PPBZV2501180017596,pgvector_only,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6309297535714575,0.5,1.0,0.2,1.0,0.6309297535714575,0.5,1.0,0.1,1.0,0.6309297535714575,0.5,1.0
PPBZV2501180017596,PPBZV2501180017596,pgvector_plus_graph,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.38685280723454163,0.2,1.0,0.1,1.0,0.38685280723454163,0.2,1.0
PPBZV2501080016394,PPBZV2501080016394,pgvector_only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.19342640361727081,0.125,1.0
PPBZV2501080016394,PPBZV2501080016394,pgvector_plus_graph,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.4227898344066503,0.16666666666666666,1.0
PPBZV2501140017050,PPBZV2501140017050,pgvector_only,5,1.0,0.2,1.0,1.0,1.0,0.6666666666666666,0.4,0.7039180890341347,1.0,1.0,0.4,0.4,0.5087403079104241,1.0,1.0,0.2,0.4,0.5087403079104241,1.0,1.0
PPBZV2501140017050,PPBZV2501140017050,pgvector_plus_graph,5,1.0,0.2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.6,0.7227265726449519,1.0,1.0,0.5,1.0,0.9427731067700876,1.0,1.0
PPBZV2501140017073,PPBZV2501140017073,pgvector_only,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.11305340175787204,0.14285714285714285,1.0
PPBZV2501140017073,PPBZV2501140017073,pgvector_plus_graph,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.10699313236726378,0.125,1.0
PPLIK2501090016527,PPLIK2501090016527,pgvector_only,4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.2960819109658652,0.5,1.0,0.2,0.25,0.24630238874073,0.5,1.0,0.1,0.25,0.24630238874073,0.5,1.0
